StationName
信義國小
瑞億社區
南雅站
中央路
捷運海山站
裕民路
新北高工(裕民)
裕民路口(學府路)
新北高工(學府)
明德路
大同莊園
中央路二段
員林里
長風新城
土城農會
土城
承天路
登山口
南天母路
南天母路52巷口
南天母路一
南天母路二
