StationName
員福里
日和里
裕民路口(中華路)
捷運海山站
裕民路
新北高工(裕民)
裕民廣場
廣川醫院
清水
清水立仁街口
清水國小
清水新村
明德路
金城路口
安和國小
延和路
延和社區公園
變電所
駕訓中心
中和高中
連城路
中正里一
中和國民運動中心
錦和高中
中和站
圓通路305巷
雙和醫院(圓通路)
力行里
圓通路口
中興街口
捷運景安站
景新街口
安和路口
華泰新城
捷運永安市場站
