StationName
民權圖書館
民生路
得和路
中興新村
潭安里
智光商職
宜安吉立
潭墘
潭墘里
永安市場一
中安街
捷運永安市場站
永和路口
自由街口
永和衛生所
復興商工
台電永和服務所
秀林里
秀朗路
秀得里
民富里
劉厝
得和路(民生路)
民生路
遠東愛買
民權圖書館
