StationName
捷運劍潭站(北藝中心)
陽明戲院
小北街
士林區農會
士林國中
士林區行政中心(中正)
陽明高中
社子市場
社正路
國泰人壽大樓
社子公園
永平街口
永倫里(社中)
永倫里(延平)
洲美橋
中窟
福安里一
許英媽廟
福安宮
明安宮
工業區
浮洲活動中心
萬金路口
