StationName
樹林藝文綜合行政大樓
濟安宮(樹新路)
樹林火車站
板林溪北路口
崑崙里(大觀路)
溪崑二街
北極宮
溪洲公園
溪洲停車場
思夢樂廣場
溪城路口
金門街
溪洲國小
溪北公園
活力廣場
沙崙里
亞東科技大學(南雅南路)
捷運亞東醫院站
光華商職
板橋夜市(南雅南路)
捷運府中站(府中路)
萬坪公園
