StationName
瑞芳火車站
魚桀魚坑
四腳亭
寶祥吉祥
台北大鎮
寫意山水社區
暖暖郵局
國道1號2Km(虛擬站不停靠)
國道3號14Km(虛擬站不停靠)
南港展覽館
南港轉運站
玉成國小
松山車站
