StationName
捷運淡水站
運動公園
外竿蓁林
竿蓁林(坪頂路)
山海大地
輕軌紅樹林站
捷運紅樹林站
八勢里
竹圍國小
安老所
馬偕醫院舊館
捷運竹圍站
許厝
竹圍國小自強分校
淡水農會自強分會
關渡我家
老莊大廈
臺北基督學院
擎天大樓
新天母社區
擎天大樓
臺北基督學院
富升大廈
長虹天下
利陽藝術學苑
福德里
關渡
許厝
幸福社區
捷運竹圍站
馬偕醫院舊館
馬偕醫院
竹林慈玄宮
民權路3巷口
安老所
竹圍國小
八勢里
捷運紅樹林站
輕軌紅樹林站
竿蓁林
淡金路16巷
玫瑰花苑
翡冷翠
摩納哥
竿蓁林(坪頂路)
丹霞灣
外竿蓁林
運動公園
捷運淡水站
