StationName
仙公廟
博愛新村
三重商工(中正北路)
忠孝路
力行路
永福街口(聖佑宮)
義天宮
幸福市場
捷運徐匯中學站
捷運徐匯中學站(集賢路)
尼加拉瓜公園
集賢路
家樂福
分子尾
新北高中
五華國小
重陽橋
陽明高中
士林區行政中心(中正)
士林國中
捷運士林站(中正)
福林國小
士林官邸(中正)
泰北中學
雙溪公園
梅林新村
東吳大學(錢穆故居)
外雙溪(至善)
故宮博物院
