0東,0100000A00
0南,0100000B00
1,0100000100
2,0100000200
5,0100000500
8,0400000800
9,0100000900
12,0100001200
14,0100001400
18,0100001800
20,0100002000
21,0100002100
22,0100002200
26,0100002600
28,0100002800
32,0100003200
33,0100003300
37,0100003700
38,0100003800
38區,0100003820
39,0100003900
39夜,0100003940
41,0100004100
42,0100004200
42區,0100004220
46,0100004600
49,0100004900
51,0400005100
52,0100005200
53,0100005300
57,0400005700
62,0400006200
63,0100006300
66,0100006600
68,0100006800
72,0100007200
88,0100008800
88區,0100008820
99,0400009900
108,0100010800
108區,0100010820
109,0100010900
111,0100011100
128,0100012800
129,0100012900
177瑞芳觀光公車,0400017700
179,0400017900
201,0400020100
202,0100020200
202區,0100020220
203,0100020300
204,0100020400
205,0100020500
206,0100020600
207,0100020700
208,0100020800
208區,0100020820
208直,0100020830
211,0100021100
212,0100021200
212直,0100021230
212夜,0100021240
214,0100021400
214直,0100021430
215,0100021500
216,0100021600
218,0100021800
218區,0100021820
218直,0100021830
221,0100022100
222,0100022200
223,0100022300
224,0100022400
225,0100022500
225區,0100022520
226,0100022600
227,0100022700
227區,0100022720
230,0100023000
231,0400023100
232,0100023200
232快,0100023250
234,0100023400
235,0100023500
236區,0100023620
237,0100023700
240直,0100024030
241,0400024100
242,0400024200
243,0400024300
245,0400024500
246,0100024600
247,0100024700
247區,0100024720
249,0400024900
250,0100025000
251,0100025100
251區,0100025120
252,0100025200
253,0100025300
254,0100025400
254區,0100025420
255,0100025500
255區,0100025520
256,0100025600
257,0100025700
260,0100026000
260區,0100026020
261,0100026100
262,0100026200
262區,0100026220
264,0400026400
265區,0100026520
265夜,0100026540
265經中央路,0100026500
265經明德路,0100026590
267,0100026700
268,0100026800
270,0100027000
270區,0100027020
274,0100027400
275,0400027500
276,0100027600
277,0100027700
278,0100027800
278區,0100027820
279,0100027900
280,0100028000
280直,0100028030
281,0100028100
282,0100028200
284,0100028400
286,0100028600
286副,0100028610
287區,0100028720
