站點名稱,連結
集美國小,stop.jsp?sid=36097
菜寮(重新路),stop.jsp?sid=36098
捷運菜寮站,stop.jsp?sid=36099
中山藝術公園,stop.jsp?sid=56960
大同路口,stop.jsp?sid=36100
正義重新路口,stop.jsp?sid=36101
長元西街口,stop.jsp?sid=36102
長壽西街口,stop.jsp?sid=36103
三安里,stop.jsp?sid=36104
龍門路口,stop.jsp?sid=36105
德林寺(三和路),stop.jsp?sid=36106
厚德派出所,stop.jsp?sid=36108
格致中學(三和路),stop.jsp?sid=36109
三和國中,stop.jsp?sid=36110
捷運三和國中站,stop.jsp?sid=129829
建和新村,stop.jsp?sid=36111
幸福市場,stop.jsp?sid=36112
捷運徐匯中學站,stop.jsp?sid=36113
民和公寓,stop.jsp?sid=36114
溪墘,stop.jsp?sid=36115
蘆洲派出所,stop.jsp?sid=36116
蘆洲監理站(中正路),stop.jsp?sid=36117
蘆洲國小,stop.jsp?sid=36118
中原公寓,stop.jsp?sid=36119
空中大學(中正路),stop.jsp?sid=36120
王爺廟口,stop.jsp?sid=36121
蘆洲總站,stop.jsp?sid=36122
